split,mapped_label,label,confidence,reason,status,source,path,prepared_path,sha1,blur_score,error,row_number
train,camera,camera,high,Pinhole spy camera lens or covert camera module is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\pinhole_spy_camera\000055.jpg,D:\pages\hiddencam-detector\dataset\train\camera\506dab66535a8ca9162dc1227144d68a25cc532b_000055.jpg,506dab66535a8ca9162dc1227144d68a25cc532b,88.36,,1012
train,camera,camera,high,Wi-Fi IP camera hardware or packaging clearly shows a camera device with visible lens.,ok,images,C:\Users\amani\Downloads\dataset\images\wifi_ip_camera\000020.jpg,D:\pages\hiddencam-detector\dataset\train\camera\7b38fd98f31cbfcf8da9c5fbbd9130d4c9a3cc15_000020.jpg,7b38fd98f31cbfcf8da9c5fbbd9130d4c9a3cc15,785.2,,1564
train,camera,camera,high,Annotated covert button recorder with lens and card slot,ok,images,C:\Users\amani\Downloads\dataset\images\button_spy_camera\000043.jpg,D:\pages\hiddencam-detector\dataset\train\camera\a7cac4b6aa634ef2a3685225d69a8d4cada68309_000043.jpg,a7cac4b6aa634ef2a3685225d69a8d4cada68309,224.04,,193
train,normal,normal,high,Channel recorder lineup is shown without any camera device visible,ok,images,C:\Users\amani\Downloads\dataset\images\onvif_ip_camera\000009.jpg,D:\pages\hiddencam-detector\dataset\train\normal\a6a0e7296c4c00e9acf93dfbf8f56e53c72a51d6_000009.jpg,a6a0e7296c4c00e9acf93dfbf8f56e53c72a51d6,1420.6,,902
train,camera,camera,high,Alarm clock hidden camera ad is explicit,ok,images,C:\Users\amani\Downloads\dataset\images\clock_spy_camera\000029.jpg,D:\pages\hiddencam-detector\dataset\train\camera\1d0942c5fee74d375ecbd820352290b140a9ab79_000029.jpg,1d0942c5fee74d375ecbd820352290b140a9ab79,672.89,,245
train,camera,camera,high,White Foscam dome camera product clearly shows the lens,ok,images,C:\Users\amani\Downloads\dataset\images\foscam_ip_camera\000023.jpg,D:\pages\hiddencam-detector\dataset\train\camera\2fd23b819d15ffbf04f8f8bdf450d2c5bda0827e_000023.jpg,2fd23b819d15ffbf04f8f8bdf450d2c5bda0827e,315.44,,381
train,camera,camera,high,Button-style covert camera device or module is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\spy_camera_in_button\000007.jpg,D:\pages\hiddencam-detector\dataset\train\camera\bb6ef1509f23873320d4245f3561a41e429f116f_000007.jpg,bb6ef1509f23873320d4245f3561a41e429f116f,53.22,,1302
train,normal,normal,high,ONVIF monitoring software interface only with no camera hardware clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\onvif_ip_camera\000001.jpg,D:\pages\hiddencam-detector\dataset\train\normal\7bc5f13c5a295ccea2f8ecf1b9f4f310fb06b3cd_000001.jpg,7bc5f13c5a295ccea2f8ecf1b9f4f310fb06b3cd,1428.85,,894
train,camera,camera,high,Charger-style hidden camera product or marked lens location is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\spy_camera_in_charger\000045.jpg,D:\pages\hiddencam-detector\dataset\train\camera\39b20f6fa0c021d8143974b911191eb9c31bebfc_000045.jpg,39b20f6fa0c021d8143974b911191eb9c31bebfc,707.87,,1375
train,camera,camera,high,Handheld box camera with a visible front lens,ok,images,C:\Users\amani\Downloads\dataset\images\battery_powered_spy_camera\000013.jpg,D:\pages\hiddencam-detector\dataset\train\camera\323fccc0951e9c067f5becca911f52616e494e83_000013.jpg,323fccc0951e9c067f5becca911f52616e494e83,145.91,,106
train,camera,camera,high,Trail camera style battery powered surveillance unit with visible lens,ok,images,C:\Users\amani\Downloads\dataset\images\battery_powered_spy_camera\000031.jpg,D:\pages\hiddencam-detector\dataset\train\camera\85755ad2d46e6db1e0a6cce1dd312da0b7bc5abb_000031.jpg,85755ad2d46e6db1e0a6cce1dd312da0b7bc5abb,900.87,,124
