source,path,sha1,blur_score,label,confidence,reason,status,error
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000001.jpg,82ac36475e1e4d6b7a9521a977253b98847c4c56,180.72,normal,high,Portable heater or fan with no visible surveillance lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000002.jpg,bc014e3ce17beba7391723c1b9b769e5910abde2,445.14,camera,high,Round purifier product image shows a side camera lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000003.jpg,f61d066de926a178babdb65f7ac9e97eeb315b4f,406.38,normal,high,Box style room heater with no visible hidden camera feature,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000004.jpg,a5cfd50debaed4e3e420c9382b946e316d4343dc,498.62,camera,high,Marketing image includes purifier with wifi icons and hidden lens callout,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000005.jpg,c2850227fe56f053598ce2415586e7893826a0a6,754.55,review_needed,medium,Ambiguous product shot and no surveillance feature is clearly visible,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000006.jpg,da9c0af738d94b825cff6115dfb81c34c324edb5,2204.59,camera,high,Exploded product diagram identifies a camera lens and SD slot,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000007.jpg,8303aa356b707e79378221da895322c3649884c5,791.56,camera,high,Marketing collage highlights lens and app based monitoring,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000008.jpg,9149007203e3ea8e666fa3ec504ac025a363cfe4,736.92,camera,high,Ad explicitly describes an OMG spy camera air purifier,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000009.jpg,f5ef6e4d4bd309ef4263b08825be14a58abbdd71,635.19,camera,high,Product ad shows live phone viewing with a camera callout,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000010.jpg,377eb814c142dba884b61a2ef9ac9c8c61f6c82c,1293.25,camera,high,Green purifier ad includes a highlighted hidden lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000011.jpg,3c747da1345771c35491523ab43df9c63bd3de76,1175.83,camera,high,Exploded render depicts concealed hidden camera hardware,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000012.jpg,cc8d8f1b06c23c53e223d77fcd6849fb2d33365f,126.31,camera,high,Product image is explicitly labeled as a mini air purifier hidden spy camera,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000013.jpg,d34f4d419c7d03b9f58330e22f0908f51ef41c47,811.76,review_needed,low,Lifestyle collage is too small and mixed to verify the device details,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000014.jpg,b1f491d33a0ea8562fbbab1ebede741783d9f04b,1465.33,camera,high,Night vision marketing images indicate covert camera monitoring,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000015.jpg,1a92f0d127c2d0f5d42e60815cd06ad296c1936c,1273.50,camera,high,Product diagram labels hidden lens and internal components,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000016.jpg,3a2c5032e0eed6fb36646c37fe78d01b4910489e,705.77,camera,high,Close up product diagram clearly labels the lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000017.jpg,22ed516ca63589381d67537508b01bce2c89c445,111.35,camera,high,Desk purifier shows a visible circular lens on the front,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000018.jpg,90fb3e2b227bae170a5c258e4d51c09b2f79873c,77.68,camera,high,Tower purifier shows a camera lens at the top,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000019.jpg,daa106249e385d6830cea2ace4145006fd300fc6,130.26,camera,high,Tower purifier product shot still shows a top mounted lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000020.jpg,e716c9c498da1f5d274e2448e9c1281491abb027,226.51,camera,high,Ad shows a spy camera hidden in an air freshener can,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000021.jpg,384e746fc603550ce9071095304b0c6993e09bf0,120.28,camera,high,Bathroom product ad highlights hidden camera use in an air freshener can,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000022.jpg,3515fa2fce27eaa7f811ddb7db13754c1456554b,170.65,camera,high,Diagram explicitly labels the inner cover and the lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000023.jpg,65d31a6a3cd6b6b1059ab12206503afd6ac3d998,2641.24,camera,high,Product shot of the air freshener can camera device,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000024.jpg,14c52e4e72069d43e570457c9f8338f97b39678c,317.36,review_needed,medium,Cylindrical purifier is photographed alone without a clearly visible lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000025.jpg,08c64c28bc80e5b962d39a1e0f1db5a0a00f0732,113.62,camera,high,Graphic marks the exact camera location on the purifier body,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000026.jpg,38a6bf151a3dad002a2bb533e0baa96c8f6c1682,577.33,camera,high,Bedside ad promotes night vision on the purifier camera,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000027.jpg,2bbd224d8061e277509e679c7b2f571b28371505,158.40,review_needed,medium,Dark device photo is too ambiguous to confirm a hidden camera,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000028.jpg,687ec867982400e65f534e3bdaddf019994d53fa,152.47,normal,high,Portable heater front view with no visible surveillance component,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000031.jpg,ef89efce09afa71808c8a10a6db670c6cdfe7907,662.13,camera,high,Exploded render shows a concealed module inside the purifier unit,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000032.jpg,e95654af593c7f2f35bf5702ec88cbe1c972d95c,710.81,normal,high,Small fan heater front view with no visible camera feature,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000033.jpg,f526c72ebac255208bfc12509778f72ebcac572c,220.21,review_needed,medium,Cylindrical purifier front view does not clearly reveal a lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000034.jpg,08c6515a59d2b29efcaf4aa3e131a4715190361a,439.05,normal,high,Ordinary room purifier with no visible hidden surveillance feature,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000035.jpg,666f09b66d5795c1683ed3b8a941d9709a309e7b,950.30,review_needed,medium,Mini device marked P2P but no clear camera hardware is visible,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000036.jpg,2e442c209a744dfd9d40db94a86d27c7187c9bdb,1736.01,normal,medium,Black cylindrical purifier with no visible lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000037.jpg,a3fa9f1c941a4e57a66aa1bfdeecc7d23da8b05e,394.34,review_needed,medium,Another cylindrical purifier view remains too ambiguous to confirm surveillance,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000038.jpg,e017564370f4ce0f0746be9c95df7bd206a1a249,1609.20,normal,high,Ordinary Glade air freshener product with no visible surveillance feature,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000039.jpg,7d703d1df25a5cab28e8189c3cc6debfb39570d2,220.99,review_needed,medium,Video thumbnail is not a clear product shot for reliable labeling,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000040.jpg,349fa909ba01fab084efb4f578f1d24bac015251,139.43,camera,high,Exploded render shows concealed camera hardware inside the purifier,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000041.jpg,1a4d51bcc2848a194d3bb91ce9516abe0143e3dd,159.98,camera,high,SecurityLab purifier ad includes wifi icons and a hidden lens callout,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000042.jpg,cc255419fd09e4108c8b5c3a62d8b165f4dcc5c4,89.24,normal,high,Small room heater with no visible hidden camera feature,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000043.jpg,a5dbafbc015da5c822f59116f6b48b9e7088e360,837.34,camera,high,Product ad explicitly markets a Glade automatic spray spy camera,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000044.jpg,e9f6225fa468569dec4487a3bd9c491c1b9730d0,696.59,review_needed,medium,Heater front image is partially annotated but the surveillance feature is not clear,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000045.jpg,0a464bcb91d6c8187f6cdd4a3f41081ac02a8b04,835.89,review_needed,medium,Glade product photo alone does not clearly expose any lens detail,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000046.jpg,d1c5e51121312afc8e1720f9c77c71444efc720a,856.33,camera,high,Spy camera product collage clearly shows lens and phone monitoring,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000047.jpg,008aeb1e5378be02c2d7797283e1c14e233c0d3f,220.74,camera,high,Product is marketed as an LED bulb style hidden camera,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000049.jpg,ca7c6d4fb7263eec72ed7d3c60d87ea58d1af725,680.56,camera,high,Product front shows a small camera window near the lower grille area,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000050.jpg,5b5205ac5653225b1719ddc27101bd24e5f0d2af,1977.91,camera,high,Annotated product image explicitly points to the camera lens,ok,
images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000051.jpg,2c5a86a871497f3f5bb0cb83c7ebb8e6a5bc95bc,363.90,camera,high,Camera lens is visible on the product body,ok,
images,C:\Users\amani\Downloads\dataset\images\arducam_spy_camera\000001.jpg,e6884dd8bb9460f8c309c01a2c47bf00158fdcaf,376.37,camera,high,Flexible ribbon cable module with a visible miniature camera lens,ok,
